t,theta,w,torque
0,0,-20,3.5
0.01,-0.199323,-19.8643,3.5
0.02,-0.397283,-19.7274,3.5
0.03,-0.593868,-19.5894,3.5
0.04,-0.789067,-19.4504,3.5
0.05,-0.982874,-19.3108,3.5
0.06,-1.17528,-19.1708,3.5
0.07,-1.36629,-19.0307,3.5
0.08,-1.5559,-18.891,3.5
0.09,-1.74411,-18.7519,3.5
0.1,-1.93094,-18.6139,3.5
0.11,-2.11639,-18.4772,3.5
0.12,-2.30049,-18.3421,3.5
0.13,-2.48324,-18.2089,3.5
0.14,-2.66467,-18.0779,3.5
0.15,-2.84481,-17.949,3.5
0.16,-3.02366,-17.8225,3.5
0.17,-3.20127,-17.6984,3.5
0.18,-3.37764,-17.5767,3.5
0.19,-3.55281,-17.4573,3.5
0.2,-3.72679,-17.3401,3.5
0.21,-3.89962,-17.2249,3.5
0.22,-4.0713,-17.1115,3.5
0.23,-4.24185,-16.9997,3.5
0.24,-4.4113,-16.8893,3.5
0.25,-4.57964,-16.7799,3.5
0.26,-4.7469,-16.6712,3.5
0.27,-4.91307,-16.563,3.5
0.28,-5.07816,-16.4551,3.5
0.29,-5.24217,-16.3471,3.5
0.3,-5.4051,-16.2388,3.5
0.31,-5.56694,-16.13,3.5
0.32,-5.7277,-16.0206,3.5
0.33,-5.88735,-15.9103,3.5
0.34,-6.0459,-15.7992,3.5
0.35,-6.20333,-15.687,3.5
0.36,-6.35964,-15.5739,3.5
0.37,-6.51481,-15.4598,3.5
0.38,-6.66883,-15.3447,3.5
0.39,-6.8217,-15.2288,3.5
0.4,-6.9734,-15.1122,3.5
0.41,-7.12394,-14.995,3.5
0.42,-7.2733,-14.8774,3.5
0.43,-7.42149,-14.7596,3.5
0.44,-7.5685,-14.6417,3.5
0.45,-7.71432,-14.5241,3.5
0.46,-7.85898,-14.4068,3.5
0.47,-8.00246,-14.2901,3.5
0.48,-8.14478,-14.1741,3.5
0.49,-8.28595,-14.0592,3.5
0.5,-8.42597,-13.9454,3.5
0.51,-8.56486,-13.833,3.5
0.52,-8.70263,-13.722,3.5
0.53,-8.83931,-13.6126,3.5
0.54,-8.97489,-13.5049,3.5
0.55,-9.10941,-13.3989,3.5
0.56,-9.24287,-13.2947,3.5
0.57,-9.37531,-13.1923,3.5
0.58,-9.50673,-13.0918,3.5
0.59,-9.63715,-12.993,3.5
0.6,-9.76659,-12.896,3.5
0.61,-9.89508,-12.8007,3.5
0.62,-10.0226,-12.707,3.5
0.63,-10.1492,-12.6149,3.5
0.64,-10.2749,-12.5241,3.5
0.65,-10.3997,-12.4346,3.5
0.66,-10.5236,-12.3463,3.5
0.67,-10.6466,-12.2589,3.5
0.68,-10.7688,-12.1724,3.5
0.69,-10.8901,-12.0866,3.5
0.7,-11.0105,-12.0014,3.5
0.71,-11.1301,-11.9166,3.5
0.72,-11.2489,-11.832,3.5
0.73,-11.3668,-11.7476,3.5
0.74,-11.4838,-11.6631,3.5
0.75,-11.6,-11.5786,3.5
0.76,-11.7154,-11.4938,3.5
0.77,-11.8299,-11.4086,3.5
0.78,-11.9436,-11.3231,3.5
0.79,-12.0564,-11.2371,3.5
0.8,-12.1683,-11.1505,3.5
0.81,-12.2794,-11.0633,3.5
0.82,-12.3896,-10.9755,3.5
0.83,-12.4989,-10.887,3.5
0.84,-12.6073,-10.798,3.5
0.85,-12.7148,-10.7083,3.5
0.86,-12.8215,-10.6179,3.5
0.87,-12.9272,-10.527,3.5
0.88,-13.032,-10.4356,3.5
0.89,-13.1359,-10.3437,3.5
0.9,-13.2389,-10.2514,3.5
0.91,-13.3409,-10.1588,3.5
0.92,-13.442,-10.0659,3.5
0.93,-13.5422,-9.97279,3.5
0.94,-13.6415,-9.87961,3.5
0.95,-13.7398,-9.78643,3.5
0.96,-13.8372,-9.69333,3.5
0.97,-13.9337,-9.60042,3.5
0.98,-14.0292,-9.50777,3.5
0.99,-14.1239,-9.41549,3.5
1,-14.2175,-9.32365,3.5
1.01,-14.3103,-9.23234,3.5
1.02,-14.4022,-9.14165,3.5
1.03,-14.4932,-9.05165,3.5
1.04,-14.5832,-8.96241,3.5
1.05,-14.6724,-8.874,3.5
1.06,-14.7607,-8.78649,3.5
1.07,-14.8481,-8.69992,3.5
1.08,-14.9347,-8.61435,3.5
1.09,-15.0204,-8.52982,3.5
1.1,-15.1053,-8.44637,3.5
1.11,-15.1894,-8.36403,3.5
1.12,-15.2726,-8.28282,3.5
1.13,-15.355,-8.20277,3.5
1.14,-15.4367,-8.12389,3.5
1.15,-15.5175,-8.04617,3.5
1.16,-15.5976,-7.96964,3.5
1.17,-15.6769,-7.89427,3.5
1.18,-15.7555,-7.82007,3.5
1.19,-15.8333,-7.74702,3.5
1.2,-15.9104,-7.67509,3.5
1.21,-15.9868,-7.60428,3.5
1.22,-16.0625,-7.53455,3.5
1.23,-16.1375,-7.46587,3.5
1.24,-16.2118,-7.39821,3.5
1.25,-16.2855,-7.33153,3.5
1.26,-16.3585,-7.2658,3.5
1.27,-16.4308,-7.20097,3.5
1.28,-16.5025,-7.137,3.5
1.29,-16.5735,-7.07385,3.5
1.3,-16.644,-7.01148,3.5
1.31,-16.7138,-6.94983,3.5
1.32,-16.783,-6.88886,3.5
1.33,-16.8516,-6.82852,3.5
1.34,-16.9195,-6.76876,3.5
1.35,-16.9869,-6.70954,3.5
1.36,-17.0537,-6.6508,3.5
1.37,-17.1199,-6.59251,3.5
1.38,-17.1856,-6.53461,3.5
1.39,-17.2506,-6.47706,3.5
1.4,-17.3151,-6.41982,3.5
1.41,-17.379,-6.36283,3.5
1.42,-17.4424,-6.30607,3.5
1.43,-17.5052,-6.24949,3.5
1.44,-17.5674,-6.19306,3.5
1.45,-17.629,-6.13672,3.5
1.46,-17.6901,-6.08046,3.5
1.47,-17.7506,-6.02424,3.5
1.48,-17.8106,-5.96802,3.5
1.49,-17.87,-5.91179,3.5
1.5,-17.9288,-5.8555,3.5
1.51,-17.9871,-5.79915,3.5
1.52,-18.0448,-5.74269,3.5
1.53,-18.102,-5.68613,3.5
1.54,-18.1585,-5.62942,3.5
1.55,-18.2145,-5.57257,3.5
1.56,-18.27,-5.51556,3.5
1.57,-18.3249,-5.45837,3.5
1.58,-18.3792,-5.40099,3.5
1.59,-18.4329,-5.34342,3.5
1.6,-18.486,-5.28565,3.5
1.61,-18.5386,-5.22767,3.5
1.62,-18.5906,-5.16949,3.5
1.63,-18.642,-5.1111,3.5
1.64,-18.6928,-5.0525,3.5
1.65,-18.743,-4.9937,3.5
1.66,-18.7927,-4.93469,3.5
1.67,-18.8417,-4.87549,3.5
1.68,-18.8902,-4.8161,3.5
1.69,-18.938,-4.75652,3.5
1.7,-18.9853,-4.69677,3.5
1.71,-19.032,-4.63685,3.5
1.72,-19.078,-4.57678,3.5
1.73,-19.1235,-4.51656,3.5
1.74,-19.1684,-4.4562,3.5
1.75,-19.2126,-4.39573,3.5
1.76,-19.2563,-4.33515,3.5
1.77,-19.2993,-4.27447,3.5
1.78,-19.3418,-4.21371,3.5
1.79,-19.3836,-4.15289,3.5
1.8,-19.4248,-4.09201,3.5
1.81,-19.4654,-4.03109,3.5
1.82,-19.5055,-3.97015,3.5
1.83,-19.5449,-3.90919,3.5
1.84,-19.5836,-3.84825,3.5
1.85,-19.6218,-3.78732,3.5
1.86,-19.6594,-3.72642,3.5
1.87,-19.6963,-3.66558,3.5
1.88,-19.7327,-3.60479,3.5
1.89,-19.7684,-3.54408,3.5
1.9,-19.8036,-3.48345,3.5
1.91,-19.8381,-3.42293,3.5
1.92,-19.872,-3.36253,3.5
1.93,-19.9054,-3.30224,3.5
1.94,-19.9381,-3.2421,3.5
1.95,-19.9702,-3.18211,3.5
1.96,-20.0017,-3.12228,3.5
1.97,-20.0326,-3.06262,3.5
1.98,-20.063,-3.00314,3.5
1.99,-20.0927,-2.94385,3.5
2,-20.1219,-2.88477,3.5
2.01,-20.1504,-2.82589,3.5
2.02,-20.1784,-2.76723,3.5
2.03,-20.2058,-2.7088,3.5
2.04,-20.2326,-2.65061,3.5
2.05,-20.2588,-2.59265,3.5
2.06,-20.2844,-2.53494,3.5
2.07,-20.3095,-2.47749,3.5
2.08,-20.334,-2.42029,3.5
2.09,-20.3579,-2.36336,3.5
2.1,-20.3812,-2.3067,3.5
2.11,-20.404,-2.25031,3.5
2.12,-20.4262,-2.1942,3.5
2.13,-20.4479,-2.13837,3.5
2.14,-20.469,-2.08283,3.5
2.15,-20.4896,-2.02757,3.5
2.16,-20.5096,-1.9726,3.5
2.17,-20.529,-1.91792,3.5
2.18,-20.5479,-1.86354,3.5
2.19,-20.5663,-1.80945,3.5
2.2,-20.5841,-1.75566,3.5
2.21,-20.6014,-1.70216,3.5
2.22,-20.6181,-1.64896,3.5
2.23,-20.6344,-1.59606,3.5
2.24,-20.6501,-1.54346,3.5
2.25,-20.6652,-1.49115,3.5
2.26,-20.6799,-1.43914,3.5
2.27,-20.694,-1.38743,3.5
2.28,-20.7076,-1.33601,3.5
2.29,-20.7207,-1.28489,3.5
2.3,-20.7333,-1.23406,3.5
2.31,-20.7454,-1.18352,3.5
2.32,-20.757,-1.13327,3.5
2.33,-20.7681,-1.08331,3.5
2.34,-20.7787,-1.03363,3.5
2.35,-20.7888,-0.984241,3.5
2.36,-20.7984,-0.935132,3.5
2.37,-20.8075,-0.886301,3.5
2.38,-20.8161,-0.837748,3.5
2.39,-20.8242,-0.789469,3.5
2.4,-20.8319,-0.741461,3.5
2.41,-20.8391,-0.693723,3.5
2.42,-20.8458,-0.646251,3.5
2.43,-20.852,-0.599042,3.5
2.44,-20.8577,-0.552094,3.5
2.45,-20.863,-0.505403,3.5
2.46,-20.8678,-0.458967,3.5
2.47,-20.8722,-0.412782,3.5
2.48,-20.8761,-0.366845,3.5
2.49,-20.8795,-0.321153,3.5
2.5,-20.8825,-0.275704,3.5
2.51,-20.8851,-0.230494,3.5
2.52,-20.8871,-0.185519,3.5
2.53,-20.8888,-0.140777,3.5
2.54,-20.89,-0.0962646,3.5
2.55,-20.8907,-0.0519784,3.5
