t,theta,w,torque
0,0,-20,0
0.01,-0.199498,-19.8993,0
0.02,-0.39798,-19.7971,0
0.03,-0.595435,-19.6936,0
0.04,-0.791848,-19.589,0
0.05,-0.987212,-19.4836,0
0.06,-1.18152,-19.3776,0
0.07,-1.37476,-19.2714,0
0.08,-1.56695,-19.1654,0
0.09,-1.75807,-19.0599,0
0.1,-1.94815,-18.9552,0
0.11,-2.13718,-18.8518,0
0.12,-2.32519,-18.7499,0
0.13,-2.51219,-18.6498,0
0.14,-2.69819,-18.5517,0
0.15,-2.88323,-18.4558,0
0.16,-3.06731,-18.3621,0
0.17,-3.25048,-18.2707,0
0.18,-3.43274,-18.1815,0
0.19,-3.61411,-18.0946,0
0.2,-3.79463,-18.0096,0
0.21,-3.97431,-17.9266,0
0.22,-4.15317,-17.8451,0
0.23,-4.33122,-17.765,0
0.24,-4.50847,-17.6859,0
0.25,-4.68494,-17.6076,0
0.26,-4.86063,-17.5297,0
0.27,-5.03553,-17.452,0
0.28,-5.20967,-17.3741,0
0.29,-5.38301,-17.2957,0
0.3,-5.55558,-17.2167,0
0.31,-5.72735,-17.1368,0
0.32,-5.89831,-17.0558,0
0.33,-6.06846,-16.9737,0
0.34,-6.23778,-16.8903,0
0.35,-6.40626,-16.8057,0
0.36,-6.57389,-16.7198,0
0.37,-6.74065,-16.6328,0
0.38,-6.90654,-16.5447,0
0.39,-7.07155,-16.4557,0
0.4,-7.23565,-16.3661,0
0.41,-7.39886,-16.2759,0
0.42,-7.56117,-16.1854,0
0.43,-7.72257,-16.0949,0
0.44,-7.88307,-16.0047,0
0.45,-8.04267,-15.915,0
0.46,-8.20137,-15.826,0
0.47,-8.35919,-15.738,0
0.48,-8.51614,-15.6512,0
0.49,-8.67222,-15.5658,0
0.5,-8.82746,-15.4819,0
0.51,-8.98186,-15.3997,0
0.52,-9.13546,-15.3194,0
0.53,-9.28826,-15.2409,0
0.54,-9.44028,-15.1643,0
0.55,-9.59155,-15.0895,0
0.56,-9.74208,-15.0167,0
0.57,-9.89189,-14.9456,0
0.58,-10.041,-14.8762,0
0.59,-10.1894,-14.8083,0
0.6,-10.3372,-14.7419,0
0.61,-10.4843,-14.6767,0
0.62,-10.6307,-14.6125,0
0.63,-10.7765,-14.5492,0
0.64,-10.9217,-14.4864,0
0.65,-11.0662,-14.4242,0
0.66,-11.2102,-14.3621,0
0.67,-11.3535,-14.3,0
0.68,-11.4962,-14.2378,0
0.69,-11.6382,-14.1751,0
0.7,-11.7797,-14.112,0
0.71,-11.9205,-14.0481,0
0.72,-12.0606,-13.9835,0
0.73,-12.2001,-13.9179,0
0.74,-12.339,-13.8514,0
0.75,-12.4772,-13.7839,0
0.76,-12.6147,-13.7154,0
0.77,-12.7515,-13.6458,0
0.78,-12.8876,-13.5753,0
0.79,-13.023,-13.5038,0
0.8,-13.1577,-13.4314,0
0.81,-13.2916,-13.3584,0
0.82,-13.4248,-13.2846,0
0.83,-13.5573,-13.2104,0
0.84,-13.689,-13.1358,0
0.85,-13.82,-13.0611,0
0.86,-13.9502,-12.9863,0
0.87,-14.0797,-12.9116,0
0.88,-14.2085,-12.8373,0
0.89,-14.3365,-12.7634,0
0.9,-14.4637,-12.6901,0
0.91,-14.5903,-12.6176,0
0.92,-14.7161,-12.546,0
0.93,-14.8412,-12.4754,0
0.94,-14.9656,-12.406,0
0.95,-15.0893,-12.3379,0
0.96,-15.2124,-12.271,0
0.97,-15.3348,-12.2057,0
0.98,-15.4565,-12.1417,0
0.99,-15.5776,-12.0793,0
1,-15.6981,-12.0183,0
1.01,-15.818,-11.9589,0
1.02,-15.9373,-11.9009,0
1.03,-16.056,-11.8444,0
1.04,-16.1742,-11.7893,0
1.05,-16.2918,-11.7355,0
1.06,-16.4089,-11.6829,0
1.07,-16.5254,-11.6315,0
1.08,-16.6415,-11.5812,0
1.09,-16.7571,-11.5317,0
1.1,-16.8721,-11.4831,0
1.11,-16.9867,-11.4352,0
1.12,-17.1008,-11.3879,0
1.13,-17.2145,-11.341,0
1.14,-17.3277,-11.2944,0
1.15,-17.4404,-11.248,0
1.16,-17.5526,-11.2016,0
1.17,-17.6644,-11.1552,0
1.18,-17.7757,-11.1086,0
1.19,-17.8866,-11.0616,0
1.2,-17.997,-11.0143,0
1.21,-18.1069,-10.9665,0
1.22,-18.2163,-10.9182,0
1.23,-18.3252,-10.8692,0
1.24,-18.4337,-10.8195,0
1.25,-18.5416,-10.769,0
1.26,-18.6491,-10.7178,0
1.27,-18.756,-10.6658,0
1.28,-18.8624,-10.613,0
1.29,-18.9682,-10.5595,0
1.3,-19.0736,-10.5051,0
1.31,-19.1783,-10.45,0
1.32,-19.2825,-10.3941,0
1.33,-19.3862,-10.3377,0
1.34,-19.4893,-10.2806,0
1.35,-19.5918,-10.2229,0
1.36,-19.6938,-10.1648,0
1.37,-19.7951,-10.1064,0
1.38,-19.8959,-10.0476,0
1.39,-19.9961,-9.98861,0
1.4,-20.0957,-9.92951,0
1.41,-20.1947,-9.87039,0
1.42,-20.2931,-9.81134,0
1.43,-20.3909,-9.75247,0
1.44,-20.4881,-9.69386,0
1.45,-20.5848,-9.63561,0
1.46,-20.6808,-9.5778,0
1.47,-20.7763,-9.52053,0
1.48,-20.8712,-9.46388,0
1.49,-20.9656,-9.40792,0
1.5,-21.0594,-9.35272,0
1.51,-21.1527,-9.29836,0
1.52,-21.2454,-9.24488,0
1.53,-21.3376,-9.19235,0
1.54,-21.4292,-9.14081,0
1.55,-21.5204,-9.0903,0
1.56,-21.611,-9.04085,0
1.57,-21.7012,-8.99248,0
1.58,-21.7909,-8.94521,0
1.59,-21.8801,-8.89905,0
1.6,-21.9689,-8.854,0
1.61,-22.0572,-8.81006,0
1.62,-22.1451,-8.76722,0
1.63,-22.2325,-8.72545,0
1.64,-22.3196,-8.68473,0
1.65,-22.4062,-8.64504,0
1.66,-22.4925,-8.60633,0
1.67,-22.5784,-8.56857,0
1.68,-22.6639,-8.53171,0
1.69,-22.749,-8.4957,0
1.7,-22.8338,-8.46049,0
1.71,-22.9182,-8.42601,0
1.72,-23.0023,-8.3922,0
1.73,-23.0861,-8.35901,0
1.74,-23.1695,-8.32637,0
1.75,-23.2526,-8.2942,0
1.76,-23.3354,-8.26245,0
1.77,-23.4178,-8.23105,0
1.78,-23.5,-8.19991,0
1.79,-23.5818,-8.16899,0
1.8,-23.6634,-8.1382,0
1.81,-23.7446,-8.10748,0
1.82,-23.8255,-8.07677,0
1.83,-23.9061,-8.046,0
1.84,-23.9864,-8.01511,0
1.85,-24.0664,-7.98405,0
1.86,-24.1461,-7.95276,0
1.87,-24.2255,-7.92119,0
1.88,-24.3045,-7.88929,0
1.89,-24.3833,-7.85702,0
1.9,-24.4617,-7.82434,0
1.91,-24.5398,-7.7912,0
1.92,-24.6175,-7.75759,0
1.93,-24.6949,-7.72347,0
1.94,-24.772,-7.68883,0
1.95,-24.8487,-7.65364,0
1.96,-24.925,-7.61789,0
1.97,-25.001,-7.58158,0
1.98,-25.0767,-7.5447,0
1.99,-25.1519,-7.50726,0
2,-25.2268,-7.46925,0
2.01,-25.3013,-7.43069,0
2.02,-25.3754,-7.39159,0
2.03,-25.4491,-7.35198,0
2.04,-25.5225,-7.31186,0
2.05,-25.5954,-7.27127,0
2.06,-25.6679,-7.23023,0
2.07,-25.74,-7.18878,0
2.08,-25.8117,-7.14694,0
2.09,-25.8829,-7.10476,0
2.1,-25.9538,-7.06227,0
2.11,-26.0242,-7.01951,0
2.12,-26.0942,-6.97653,0
2.13,-26.1637,-6.93336,0
2.14,-26.2328,-6.89006,0
2.15,-26.3015,-6.84665,0
2.16,-26.3698,-6.8032,0
2.17,-26.4376,-6.75974,0
2.18,-26.5049,-6.71632,0
2.19,-26.5719,-6.67298,0
2.2,-26.6384,-6.62978,0
2.21,-26.7045,-6.58674,0
2.22,-26.7701,-6.54392,0
2.23,-26.8354,-6.50136,0
2.24,-26.9002,-6.4591,0
2.25,-26.9646,-6.41717,0
2.26,-27.0285,-6.37561,0
2.27,-27.0921,-6.33447,0
2.28,-27.1552,-6.29377,0
2.29,-27.2179,-6.25355,0
2.3,-27.2803,-6.21383,0
2.31,-27.3422,-6.17466,0
2.32,-27.4038,-6.13604,0
2.33,-27.4649,-6.09801,0
2.34,-27.5257,-6.06059,0
2.35,-27.5862,-6.0238,0
2.36,-27.6462,-5.98765,0
2.37,-27.7059,-5.95217,0
2.38,-27.7653,-5.91737,0
2.39,-27.8243,-5.88326,0
2.4,-27.8829,-5.84984,0
2.41,-27.9413,-5.81713,0
2.42,-27.9993,-5.78513,0
2.43,-28.057,-5.75385,0
2.44,-28.1144,-5.72328,0
2.45,-28.1714,-5.69343,0
2.46,-28.2282,-5.66429,0
2.47,-28.2847,-5.63586,0
2.48,-28.3409,-5.60814,0
2.49,-28.3969,-5.58111,0
2.5,-28.4526,-5.55477,0
2.51,-28.508,-5.5291,0
2.52,-28.5631,-5.5041,0
2.53,-28.6181,-5.47975,0
2.54,-28.6727,-5.45604,0
2.55,-28.7272,-5.43295,0
2.56,-28.7814,-5.41046,0
2.57,-28.8354,-5.38855,0
2.58,-28.8892,-5.3672,0
2.59,-28.9427,-5.34641,0
2.6,-28.9961,-5.32613,0
2.61,-29.0493,-5.30635,0
2.62,-29.1022,-5.28705,0
2.63,-29.155,-5.2682,0
2.64,-29.2076,-5.24978,0
2.65,-29.26,-5.23177,0
2.66,-29.3122,-5.21413,0
2.67,-29.3643,-5.19684,0
2.68,-29.4162,-5.17989,0
2.69,-29.4679,-5.16323,0
2.7,-29.5194,-5.14684,0
2.71,-29.5708,-5.1307,0
2.72,-29.6221,-5.11477,0
2.73,-29.6731,-5.09904,0
2.74,-29.724,-5.08348,0
2.75,-29.7748,-5.06805,0
2.76,-29.8254,-5.05274,0
2.77,-29.8759,-5.03751,0
2.78,-29.9262,-5.02235,0
2.79,-29.9763,-5.00722,0
2.8,-30.0263,-4.9921,0
2.81,-30.0761,-4.97696,0
2.82,-30.1258,-4.96179,0
2.83,-30.1754,-4.94655,0
2.84,-30.2248,-4.93123,0
2.85,-30.274,-4.91581,0
2.86,-30.3231,-4.90026,0
2.87,-30.372,-4.88456,0
2.88,-30.4208,-4.86869,0
2.89,-30.4694,-4.85264,0
2.9,-30.5178,-4.83639,0
2.91,-30.5661,-4.81992,0
2.92,-30.6142,-4.80321,0
2.93,-30.6622,-4.78625,0
2.94,-30.7099,-4.76903,0
2.95,-30.7575,-4.75153,0
2.96,-30.805,-4.73375,0
2.97,-30.8522,-4.71566,0
2.98,-30.8993,-4.69727,0
2.99,-30.9462,-4.67857,0
3,-30.9929,-4.65954,0
3.01,-31.0394,-4.64018,0
3.02,-31.0857,-4.62049,0
3.03,-31.1318,-4.60046,0
3.04,-31.1777,-4.58009,0
3.05,-31.2234,-4.55938,0
3.06,-31.2689,-4.53832,0
3.07,-31.3141,-4.51693,0
3.08,-31.3592,-4.49519,0
3.09,-31.404,-4.47311,0
