t,theta,w,torque
0,0,-20,2.5
0.01,-0.199373,-19.8743,2.5
0.02,-0.397482,-19.7473,2.5
0.03,-0.594315,-19.6192,2.5
0.04,-0.789862,-19.49,2.5
0.05,-0.984113,-19.3601,2.5
0.06,-1.17706,-19.2299,2.5
0.07,-1.36871,-19.0995,2.5
0.08,-1.55905,-18.9694,2.5
0.09,-1.7481,-18.8399,2.5
0.1,-1.93586,-18.7114,2.5
0.11,-2.12233,-18.5842,2.5
0.12,-2.30755,-18.4586,2.5
0.13,-2.49151,-18.3349,2.5
0.14,-2.67425,-18.2132,2.5
0.15,-2.85578,-18.0938,2.5
0.16,-3.03613,-17.9767,2.5
0.17,-3.21533,-17.8619,2.5
0.18,-3.39338,-17.7495,2.5
0.19,-3.57032,-17.6394,2.5
0.2,-3.74618,-17.5314,2.5
0.21,-3.92096,-17.4254,2.5
0.22,-4.09469,-17.3211,2.5
0.23,-4.26739,-17.2184,2.5
0.24,-4.43906,-17.1169,2.5
0.25,-4.60973,-17.0164,2.5
0.26,-4.77939,-16.9165,2.5
0.27,-4.94806,-16.8171,2.5
0.28,-5.11573,-16.7177,2.5
0.29,-5.28241,-16.6182,2.5
0.3,-5.4481,-16.5183,2.5
0.31,-5.61278,-16.4178,2.5
0.32,-5.77645,-16.3165,2.5
0.33,-5.9391,-16.2143,2.5
0.34,-6.10073,-16.1111,2.5
0.35,-6.26132,-16.0068,2.5
0.36,-6.42087,-15.9015,2.5
0.37,-6.57935,-15.7951,2.5
0.38,-6.73676,-15.6877,2.5
0.39,-6.8931,-15.5795,2.5
0.4,-7.04835,-15.4705,2.5
0.41,-7.20251,-15.361,2.5
0.42,-7.35557,-15.251,2.5
0.43,-7.50753,-15.141,2.5
0.44,-7.65839,-15.0309,2.5
0.45,-7.80815,-14.9211,2.5
0.46,-7.95681,-14.8118,2.5
0.47,-8.10438,-14.7032,2.5
0.48,-8.25088,-14.5954,2.5
0.49,-8.3963,-14.4888,2.5
0.5,-8.54066,-14.3835,2.5
0.51,-8.68397,-14.2796,2.5
0.52,-8.82625,-14.1772,2.5
0.53,-8.96752,-14.0766,2.5
0.54,-9.10779,-13.9777,2.5
0.55,-9.24708,-13.8806,2.5
0.56,-9.38541,-13.7853,2.5
0.57,-9.52279,-13.6919,2.5
0.58,-9.65925,-13.6003,2.5
0.59,-9.79481,-13.5105,2.5
0.6,-9.92947,-13.4224,2.5
0.61,-10.0633,-13.336,2.5
0.62,-10.1962,-13.251,2.5
0.63,-10.3283,-13.1673,2.5
0.64,-10.4595,-13.0849,2.5
0.65,-10.59,-13.0036,2.5
0.66,-10.7196,-12.9232,2.5
0.67,-10.8485,-12.8436,2.5
0.68,-10.9765,-12.7645,2.5
0.69,-11.1037,-12.6859,2.5
0.7,-11.2302,-12.6075,2.5
0.71,-11.3559,-12.5292,2.5
0.72,-11.4808,-12.4509,2.5
0.73,-11.6049,-12.3724,2.5
0.74,-11.7282,-12.2935,2.5
0.75,-11.8508,-12.2142,2.5
0.76,-11.9725,-12.1345,2.5
0.77,-12.0935,-12.0541,2.5
0.78,-12.2136,-11.973,2.5
0.79,-12.3329,-11.8912,2.5
0.8,-12.4514,-11.8087,2.5
0.81,-12.5691,-11.7254,2.5
0.82,-12.6859,-11.6414,2.5
0.83,-12.8019,-11.5567,2.5
0.84,-12.9171,-11.4712,2.5
0.85,-13.0313,-11.3851,2.5
0.86,-13.1448,-11.2984,2.5
0.87,-13.2573,-11.2112,2.5
0.88,-13.369,-11.1236,2.5
0.89,-13.4798,-11.0356,2.5
0.9,-13.5897,-10.9474,2.5
0.91,-13.6987,-10.8591,2.5
0.92,-13.8069,-10.7708,2.5
0.93,-13.9141,-10.6825,2.5
0.94,-14.0205,-10.5945,2.5
0.95,-14.126,-10.5067,2.5
0.96,-14.2307,-10.4194,2.5
0.97,-14.3344,-10.3327,2.5
0.98,-14.4373,-10.2465,2.5
0.99,-14.5394,-10.1611,2.5
1,-14.6405,-10.0765,2.5
1.01,-14.7409,-9.99286,2.5
1.02,-14.8404,-9.91017,2.5
1.03,-14.9391,-9.82853,2.5
1.04,-15.037,-9.748,2.5
1.05,-15.1341,-9.66863,2.5
1.06,-15.2304,-9.59047,2.5
1.07,-15.3259,-9.51354,2.5
1.08,-15.4206,-9.43788,2.5
1.09,-15.5146,-9.3635,2.5
1.1,-15.6079,-9.2904,2.5
1.11,-15.7005,-9.2186,2.5
1.12,-15.7923,-9.14806,2.5
1.13,-15.8834,-9.07879,2.5
1.14,-15.9739,-9.01076,2.5
1.15,-16.0636,-8.94393,2.5
1.16,-16.1527,-8.87827,2.5
1.17,-16.2412,-8.81374,2.5
1.18,-16.329,-8.75028,2.5
1.19,-16.4162,-8.68785,2.5
1.2,-16.5028,-8.62639,2.5
1.21,-16.5887,-8.56584,2.5
1.22,-16.6741,-8.50614,2.5
1.23,-16.7589,-8.44721,2.5
1.24,-16.8431,-8.389,2.5
1.25,-16.9267,-8.33143,2.5
1.26,-17.0097,-8.27444,2.5
1.27,-17.0921,-8.21795,2.5
1.28,-17.174,-8.16189,2.5
1.29,-17.2554,-8.10619,2.5
1.3,-17.3362,-8.0508,2.5
1.31,-17.4164,-7.99563,2.5
1.32,-17.4961,-7.94063,2.5
1.33,-17.5752,-7.88573,2.5
1.34,-17.6538,-7.83088,2.5
1.35,-17.7318,-7.77602,2.5
1.36,-17.8093,-7.72109,2.5
1.37,-17.8863,-7.66604,2.5
1.38,-17.9626,-7.61083,2.5
1.39,-18.0385,-7.55542,2.5
1.4,-18.1137,-7.49977,2.5
1.41,-18.1885,-7.44384,2.5
1.42,-18.2626,-7.3876,2.5
1.43,-18.3362,-7.33103,2.5
1.44,-18.4092,-7.2741,2.5
1.45,-18.4817,-7.21681,2.5
1.46,-18.5536,-7.15912,2.5
1.47,-18.6249,-7.10105,2.5
1.48,-18.6956,-7.04257,2.5
1.49,-18.7657,-6.98369,2.5
1.5,-18.8353,-6.92441,2.5
1.51,-18.9042,-6.86473,2.5
1.52,-18.9726,-6.80467,2.5
1.53,-19.0403,-6.74424,2.5
1.54,-19.1074,-6.68344,2.5
1.55,-19.174,-6.62231,2.5
1.56,-19.2399,-6.56085,2.5
1.57,-19.3052,-6.4991,2.5
1.58,-19.3699,-6.43707,2.5
1.59,-19.4339,-6.37479,2.5
1.6,-19.4974,-6.3123,2.5
1.61,-19.5602,-6.24961,2.5
1.62,-19.6224,-6.18677,2.5
1.63,-19.6839,-6.12379,2.5
