t,theta,w,torque
0,0,-20,4
0.01,-0.199298,-19.8594,4
0.02,-0.397183,-19.7175,4
0.03,-0.593644,-19.5745,4
0.04,-0.78867,-19.4306,4
0.05,-0.982254,-19.2861,4
0.06,-1.17439,-19.1412,4
0.07,-1.36508,-18.9964,4
0.08,-1.55432,-18.8518,4
0.09,-1.74212,-18.708,4
0.1,-1.92848,-18.5651,4
0.11,-2.11342,-18.4237,4
0.12,-2.29696,-18.2839,4
0.13,-2.47911,-18.146,4
0.14,-2.65989,-18.0102,4
0.15,-2.83932,-17.8766,4
0.16,-3.01743,-17.7455,4
0.17,-3.19424,-17.6167,4
0.18,-3.36977,-17.4903,4
0.19,-3.54405,-17.3663,4
0.2,-3.7171,-17.2445,4
0.21,-3.88895,-17.1247,4
0.22,-4.0596,-17.0067,4
0.23,-4.22909,-16.8904,4
0.24,-4.39742,-16.7755,4
0.25,-4.5646,-16.6616,4
0.26,-4.73065,-16.5485,4
0.27,-4.89557,-16.436,4
0.28,-5.05937,-16.3237,4
0.29,-5.22205,-16.2115,4
0.3,-5.3836,-16.099,4
0.31,-5.54403,-15.9861,4
0.32,-5.70332,-15.8726,4
0.33,-5.86147,-15.7583,4
0.34,-6.01848,-15.6431,4
0.35,-6.17433,-15.5271,4
0.36,-6.32902,-15.41,4
0.37,-6.48253,-15.2921,4
0.38,-6.63486,-15.1732,4
0.39,-6.78599,-15.0535,4
0.4,-6.93593,-14.9331,4
0.41,-7.08465,-14.812,4
0.42,-7.23217,-14.6906,4
0.43,-7.37846,-14.5689,4
0.44,-7.52354,-14.4472,4
0.45,-7.66741,-14.3256,4
0.46,-7.81006,-14.2044,4
0.47,-7.9515,-14.0837,4
0.48,-8.09173,-13.9637,4
0.49,-8.23077,-13.8447,4
0.5,-8.36863,-13.7267,4
0.51,-8.50531,-13.61,4
0.52,-8.64084,-13.4947,4
0.53,-8.77521,-13.381,4
0.54,-8.90846,-13.2689,4
0.55,-9.0406,-13.1585,4
0.56,-9.17164,-13.0498,4
0.57,-9.3016,-12.943,4
0.58,-9.4305,-12.8379,4
0.59,-9.55836,-12.7347,4
0.6,-9.6852,-12.6332,4
0.61,-9.81103,-12.5335,4
0.62,-9.93588,-12.4354,4
0.63,-10.0597,-12.3389,4
0.64,-10.1827,-12.2438,4
0.65,-10.3046,-12.1502,4
0.66,-10.4257,-12.0577,4
0.67,-10.5458,-11.9664,4
0.68,-10.665,-11.876,4
0.69,-10.7833,-11.7865,4
0.7,-10.9007,-11.6976,4
0.71,-11.0173,-11.6094,4
0.72,-11.1329,-11.5215,4
0.73,-11.2477,-11.4339,4
0.74,-11.3616,-11.3465,4
0.75,-11.4746,-11.2591,4
0.76,-11.5868,-11.1716,4
0.77,-11.6981,-11.0839,4
0.78,-11.8085,-10.996,4
0.79,-11.918,-10.9077,4
0.8,-12.0266,-10.819,4
0.81,-12.1344,-10.7298,4
0.82,-12.2412,-10.6401,4
0.83,-12.3472,-10.5498,4
0.84,-12.4522,-10.4589,4
0.85,-12.5563,-10.3675,4
0.86,-12.6595,-10.2754,4
0.87,-12.7618,-10.1828,4
0.88,-12.8632,-10.0897,4
0.89,-12.9636,-9.99611,4
0.9,-13.0631,-9.90204,4
0.91,-13.1617,-9.80758,4
0.92,-13.2593,-9.71277,4
0.93,-13.3559,-9.6177,4
0.94,-13.4516,-9.52242,4
0.95,-13.5464,-9.42702,4
0.96,-13.6402,-9.33157,4
0.97,-13.733,-9.23615,4
0.98,-13.8249,-9.14084,4
0.99,-13.9158,-9.04573,4
1,-14.0058,-8.9509,4
1.01,-14.0948,-8.85642,4
1.02,-14.1829,-8.76238,4
1.03,-14.2701,-8.66885,4
1.04,-14.3563,-8.57589,4
1.05,-14.4416,-8.48359,4
1.06,-14.526,-8.392,4
1.07,-14.6094,-8.30118,4
