t,theta,w,torque
0,0,-20,1
0.01,-0.199448,-19.8893,1
0.02,-0.397781,-19.7772,1
0.03,-0.594987,-19.6638,1
0.04,-0.791054,-19.5494,1
0.05,-0.985972,-19.4342,1
0.06,-1.17974,-19.3185,1
0.07,-1.37234,-19.2026,1
0.08,-1.56379,-19.087,1
0.09,-1.75408,-18.9719,1
0.1,-1.94323,-18.8577,1
0.11,-2.13124,-18.7448,1
0.12,-2.31813,-18.6334,1
0.13,-2.50392,-18.5239,1
0.14,-2.68862,-18.4163,1
0.15,-2.87225,-18.311,1
0.16,-3.05484,-18.2079,1
0.17,-3.23642,-18.1072,1
0.18,-3.41699,-18.0087,1
0.19,-3.5966,-17.9125,1
0.2,-3.77525,-17.8183,1
0.21,-3.95297,-17.7261,1
0.22,-4.12978,-17.6355,1
0.23,-4.30569,-17.5463,1
0.24,-4.48071,-17.4583,1
0.25,-4.65486,-17.3711,1
0.26,-4.82813,-17.2845,1
0.27,-5.00055,-17.198,1
0.28,-5.17209,-17.1116,1
0.29,-5.34278,-17.0248,1
0.3,-5.51259,-16.9374,1
0.31,-5.68152,-16.8493,1
0.32,-5.84957,-16.7602,1
0.33,-6.01672,-16.67,1
0.34,-6.18297,-16.5787,1
0.35,-6.34829,-16.4862,1
0.36,-6.51269,-16.3926,1
0.37,-6.67614,-16.2978,1
0.38,-6.83864,-16.202,1
0.39,-7.00018,-16.1053,1
0.4,-7.16074,-16.0078,1
0.41,-7.32033,-15.9099,1
0.42,-7.47894,-15.8116,1
0.43,-7.63656,-15.7132,1
0.44,-7.7932,-15.615,1
0.45,-7.94886,-15.5172,1
0.46,-8.10355,-15.42,1
0.47,-8.25727,-15.3237,1
0.48,-8.41003,-15.2285,1
0.49,-8.56184,-15.1345,1
0.5,-8.71272,-15.042,1
0.51,-8.86269,-14.951,1
0.52,-9.01175,-14.8618,1
0.53,-9.15993,-14.7744,1
0.54,-9.30724,-14.6889,1
0.55,-9.45371,-14.6052,1
0.56,-9.59935,-14.5234,1
0.57,-9.74419,-14.4434,1
0.58,-9.88823,-14.3652,1
0.59,-10.0315,-14.2887,1
0.6,-10.174,-14.2137,1
0.61,-10.3158,-14.1401,1
0.62,-10.4568,-14.0678,1
0.63,-10.5971,-13.9965,1
0.64,-10.7367,-13.9262,1
0.65,-10.8757,-13.8565,1
0.66,-11.0139,-13.7874,1
0.67,-11.1514,-13.7186,1
0.68,-11.2883,-13.6499,1
0.69,-11.4244,-13.5812,1
0.7,-11.5599,-13.5122,1
0.71,-11.6946,-13.4429,1
0.72,-11.8287,-13.3731,1
0.73,-11.9621,-13.3026,1
0.74,-12.0948,-13.2314,1
0.75,-12.2267,-13.1593,1
0.76,-12.358,-13.0864,1
0.77,-12.4885,-13.0126,1
0.78,-12.6182,-12.9379,1
0.79,-12.7472,-12.8622,1
0.8,-12.8755,-12.7857,1
0.81,-13.0029,-12.7083,1
0.82,-13.1296,-12.6301,1
0.83,-13.2555,-12.5513,1
0.84,-13.3806,-12.472,1
0.85,-13.505,-12.3921,1
0.86,-13.6285,-12.3119,1
0.87,-13.7512,-12.2316,1
0.88,-13.8731,-12.1511,1
0.89,-13.9942,-12.0708,1
0.9,-14.1145,-11.9907,1
0.91,-14.234,-11.9109,1
0.92,-14.3528,-11.8317,1
0.93,-14.4707,-11.7531,1
0.94,-14.5878,-11.6753,1
0.95,-14.7042,-11.5984,1
0.96,-14.8198,-11.5225,1
0.97,-14.9346,-11.4477,1
0.98,-15.0487,-11.3741,1
0.99,-15.1621,-11.3017,1
1,-15.2748,-11.2307,1
