t,theta,w,torque
0,0,-20,0.5
0.01,-0.199473,-19.8943,0.5
0.02,-0.397881,-19.7871,0.5
0.03,-0.595211,-19.6787,0.5
0.04,-0.791451,-19.5692,0.5
0.05,-0.986592,-19.4589,0.5
0.06,-1.18063,-19.348,0.5
0.07,-1.37355,-19.237,0.5
0.08,-1.56537,-19.1262,0.5
0.09,-1.75608,-19.0159,0.5
0.1,-1.94569,-18.9065,0.5
0.11,-2.13421,-18.7983,0.5
0.12,-2.32166,-18.6917,0.5
0.13,-2.50805,-18.5869,0.5
0.14,-2.6934,-18.484,0.5
0.15,-2.87774,-18.3834,0.5
0.16,-3.06108,-18.285,0.5
0.17,-3.24345,-18.1889,0.5
0.18,-3.42487,-18.0951,0.5
0.19,-3.60536,-18.0035,0.5
0.2,-3.78494,-17.914,0.5
0.21,-3.96364,-17.8263,0.5
0.22,-4.14147,-17.7403,0.5
0.23,-4.31845,-17.6557,0.5
0.24,-4.49459,-17.5721,0.5
0.25,-4.6699,-17.4894,0.5
0.26,-4.84438,-17.4071,0.5
0.27,-5.01804,-17.325,0.5
0.28,-5.19088,-17.2428,0.5
0.29,-5.3629,-17.1603,0.5
0.3,-5.53408,-17.0771,0.5
0.31,-5.70443,-16.993,0.5
0.32,-5.87394,-16.908,0.5
0.33,-6.04259,-16.8219,0.5
0.34,-6.21037,-16.7345,0.5
0.35,-6.37728,-16.646,0.5
0.36,-6.54329,-16.5562,0.5
0.37,-6.7084,-16.4653,0.5
0.38,-6.87259,-16.3734,0.5
0.39,-7.03586,-16.2805,0.5
0.4,-7.1982,-16.1869,0.5
0.41,-7.3596,-16.0929,0.5
0.42,-7.52006,-15.9985,0.5
0.43,-7.67957,-15.9041,0.5
0.44,-7.83814,-15.8098,0.5
0.45,-7.99577,-15.7161,0.5
0.46,-8.15246,-15.623,0.5
0.47,-8.30823,-15.5308,0.5
0.48,-8.46308,-15.4397,0.5
0.49,-8.61703,-15.35,0.5
0.5,-8.77009,-15.2618,0.5
0.51,-8.92227,-15.1753,0.5
0.52,-9.0736,-15.0905,0.5
0.53,-9.22409,-15.0075,0.5
0.54,-9.37376,-14.9264,0.5
0.55,-9.52262,-14.8472,0.5
0.56,-9.67071,-14.7699,0.5
0.57,-9.81803,-14.6944,0.5
0.58,-9.9646,-14.6206,0.5
0.59,-10.1104,-14.5484,0.5
0.6,-10.2556,-14.4777,0.5
0.61,-10.4,-14.4084,0.5
0.62,-10.5437,-14.3401,0.5
0.63,-10.6868,-14.2729,0.5
0.64,-10.8292,-14.2064,0.5
0.65,-10.9709,-14.1405,0.5
0.66,-11.112,-14.0749,0.5
0.67,-11.2524,-14.0095,0.5
0.68,-11.3922,-13.9441,0.5
0.69,-11.5313,-13.8785,0.5
0.7,-11.6698,-13.8125,0.5
0.71,-11.8076,-13.7459,0.5
0.72,-11.9447,-13.6787,0.5
0.73,-12.0811,-13.6108,0.5
0.74,-12.2169,-13.5419,0.5
0.75,-12.352,-13.4722,0.5
0.76,-12.4863,-13.4014,0.5
0.77,-12.62,-13.3297,0.5
0.78,-12.7529,-13.2571,0.5
0.79,-12.8851,-13.1835,0.5
0.8,-13.0166,-13.109,0.5
0.81,-13.1473,-13.0337,0.5
0.82,-13.2773,-12.9577,0.5
0.83,-13.4065,-12.8811,0.5
0.84,-13.5349,-12.8041,0.5
0.85,-13.6625,-12.7267,0.5
0.86,-13.7894,-12.6491,0.5
0.87,-13.9155,-12.5714,0.5
0.88,-14.0409,-12.4939,0.5
0.89,-14.1654,-12.4166,0.5
0.9,-14.2892,-12.3398,0.5
0.91,-14.4122,-12.2635,0.5
0.92,-14.5345,-12.1879,0.5
0.93,-14.656,-12.1132,0.5
0.94,-14.7767,-12.0395,0.5
0.95,-14.8968,-11.9668,0.5
0.96,-15.0161,-11.8953,0.5
0.97,-15.1347,-11.8251,0.5
0.98,-15.2526,-11.7563,0.5
0.99,-15.3698,-11.6888,0.5
1,-15.4864,-11.6227,0.5
1.01,-15.6023,-11.5582,0.5
1.02,-15.7175,-11.4951,0.5
1.03,-15.8322,-11.4334,0.5
1.04,-15.9462,-11.3732,0.5
1.05,-16.0596,-11.3144,0.5
1.06,-16.1725,-11.2569,0.5
1.07,-16.2848,-11.2007,0.5
1.08,-16.3965,-11.1458,0.5
1.09,-16.5077,-11.092,0.5
1.1,-16.6184,-11.0392,0.5
1.11,-16.7285,-10.9873,0.5
1.12,-16.8381,-10.9363,0.5
1.13,-16.9472,-10.886,0.5
1.14,-17.0558,-10.8363,0.5
1.15,-17.1639,-10.7871,0.5
1.16,-17.2716,-10.7383,0.5
1.17,-17.3787,-10.6897,0.5
1.18,-17.4854,-10.6413,0.5
1.19,-17.5915,-10.5928,0.5
1.2,-17.6972,-10.5443,0.5
1.21,-17.8024,-10.4956,0.5
1.22,-17.9071,-10.4467,0.5
1.23,-18.0113,-10.3973,0.5
1.24,-18.1151,-10.3475,0.5
