t,theta,w,torque
0,0,-20,1.5
0.01,-0.199672,-19.9341,1.5
0.02,-0.398676,-19.8664,1.5
0.03,-0.596994,-19.797,1.5
0.04,-0.794612,-19.7262,1.5
0.05,-0.991515,-19.6542,1.5
0.06,-1.18769,-19.5813,1.5
0.07,-1.38314,-19.5079,1.5
0.08,-1.57785,-19.4343,1.5
0.09,-1.77183,-19.3609,1.5
0.1,-1.96507,-19.288,1.5
0.11,-2.15759,-19.2161,1.5
0.12,-2.3494,-19.1454,1.5
0.13,-2.5405,-19.0762,1.5
0.14,-2.73092,-19.0087,1.5
0.15,-2.92068,-18.9432,1.5
0.16,-3.1098,-18.8797,1.5
0.17,-3.29828,-18.8182,1.5
0.18,-3.48617,-18.7587,1.5
0.19,-3.67346,-18.7011,1.5
0.2,-3.86019,-18.6452,1.5
0.21,-4.04637,-18.5909,1.5
0.22,-4.23202,-18.5379,1.5
0.23,-4.41713,-18.4859,1.5
0.24,-4.60174,-18.4345,1.5
0.25,-4.78583,-18.3835,1.5
0.26,-4.96941,-18.3324,1.5
0.27,-5.15247,-18.2811,1.5
0.28,-5.33502,-18.229,1.5
0.29,-5.51705,-18.1761,1.5
0.3,-5.69854,-18.1219,1.5
0.31,-5.87948,-18.0664,1.5
0.32,-6.05987,-18.0094,1.5
0.33,-6.23967,-17.9508,1.5
0.34,-6.41888,-17.8905,1.5
0.35,-6.59747,-17.8287,1.5
0.36,-6.77544,-17.7652,1.5
0.37,-6.95277,-17.7004,1.5
0.38,-7.12945,-17.6344,1.5
0.39,-7.30546,-17.5674,1.5
0.4,-7.48079,-17.4996,1.5
0.41,-7.65545,-17.4313,1.5
0.42,-7.82942,-17.3629,1.5
0.43,-8.00271,-17.2946,1.5
0.44,-8.17531,-17.2268,1.5
0.45,-8.34724,-17.1596,1.5
0.46,-8.51851,-17.0934,1.5
0.47,-8.68912,-17.0285,1.5
0.48,-8.85908,-16.9649,1.5
0.49,-9.02842,-16.903,1.5
0.5,-9.19715,-16.8427,1.5
0.51,-9.36528,-16.7843,1.5
0.52,-9.53284,-16.7276,1.5
0.53,-9.69984,-16.6728,1.5
0.54,-9.8663,-16.6197,1.5
0.55,-10.0322,-16.5682,1.5
0.56,-10.1977,-16.5182,1.5
0.57,-10.3626,-16.4695,1.5
0.58,-10.5271,-16.4219,1.5
0.59,-10.691,-16.3751,1.5
0.6,-10.8546,-16.329,1.5
0.61,-11.0176,-16.2832,1.5
0.62,-11.1802,-16.2375,1.5
0.63,-11.3424,-16.1916,1.5
0.64,-11.5041,-16.1453,1.5
0.65,-11.6653,-16.0983,1.5
0.66,-11.826,-16.0504,1.5
0.67,-11.9863,-16.0015,1.5
0.68,-12.1461,-15.9513,1.5
0.69,-12.3053,-15.8998,1.5
0.7,-12.464,-15.8469,1.5
0.71,-12.6222,-15.7926,1.5
0.72,-12.7799,-15.7369,1.5
0.73,-12.937,-15.6797,1.5
0.74,-13.0935,-15.6213,1.5
0.75,-13.2494,-15.5616,1.5
0.76,-13.4047,-15.5009,1.5
0.77,-13.5594,-15.4393,1.5
0.78,-13.7135,-15.377,1.5
0.79,-13.8669,-15.3142,1.5
0.8,-14.0198,-15.2512,1.5
0.81,-14.172,-15.1882,1.5
0.82,-14.3235,-15.1254,1.5
0.83,-14.4745,-15.063,1.5
0.84,-14.6248,-15.0013,1.5
0.85,-14.7745,-14.9404,1.5
0.86,-14.9236,-14.8805,1.5
0.87,-15.0721,-14.8219,1.5
0.88,-15.2201,-14.7646,1.5
0.89,-15.3674,-14.7087,1.5
0.9,-15.5142,-14.6544,1.5
0.91,-15.6605,-14.6016,1.5
0.92,-15.8063,-14.5504,1.5
0.93,-15.9515,-14.5008,1.5
0.94,-16.0963,-14.4527,1.5
0.95,-16.2406,-14.4061,1.5
0.96,-16.3844,-14.3608,1.5
0.97,-16.5278,-14.3168,1.5
0.98,-16.6708,-14.2738,1.5
0.99,-16.8133,-14.2318,1.5
1,-16.9554,-14.1905,1.5
1.01,-17.0971,-14.1497,1.5
1.02,-17.2384,-14.1093,1.5
1.03,-17.3793,-14.0691,1.5
1.04,-17.5198,-14.0288,1.5
1.05,-17.6599,-13.9883,1.5
1.06,-17.7995,-13.9474,1.5
1.07,-17.9388,-13.9059,1.5
1.08,-18.0777,-13.8636,1.5
1.09,-18.2161,-13.8204,1.5
1.1,-18.3541,-13.7763,1.5
1.11,-18.4916,-13.731,1.5
1.12,-18.6287,-13.6846,1.5
1.13,-18.7653,-13.637,1.5
1.14,-18.9014,-13.5881,1.5
1.15,-19.037,-13.538,1.5
1.16,-19.1722,-13.4867,1.5
1.17,-19.3068,-13.4343,1.5
1.18,-19.4409,-13.3807,1.5
1.19,-19.5744,-13.3263,1.5
1.2,-19.7074,-13.2709,1.5
1.21,-19.8398,-13.2148,1.5
1.22,-19.9717,-13.1581,1.5
1.23,-20.103,-13.1011,1.5
1.24,-20.2337,-13.0437,1.5
1.25,-20.3638,-12.9862,1.5
1.26,-20.4934,-12.9289,1.5
1.27,-20.6224,-12.8717,1.5
1.28,-20.7508,-12.815,1.5
1.29,-20.8787,-12.7588,1.5
1.3,-21.006,-12.7033,1.5
1.31,-21.1328,-12.6486,1.5
1.32,-21.259,-12.5949,1.5
1.33,-21.3847,-12.5423,1.5
1.34,-21.5099,-12.4909,1.5
1.35,-21.6345,-12.4406,1.5
1.36,-21.7587,-12.3917,1.5
1.37,-21.8823,-12.3441,1.5
1.38,-22.0056,-12.2978,1.5
1.39,-22.1283,-12.2529,1.5
1.4,-22.2506,-12.2093,1.5
1.41,-22.3725,-12.1669,1.5
1.42,-22.494,-12.1258,1.5
1.43,-22.615,-12.0859,1.5
1.44,-22.7357,-12.0471,1.5
1.45,-22.856,-12.0092,1.5
1.46,-22.9759,-11.9722,1.5
1.47,-23.0954,-11.936,1.5
1.48,-23.2146,-11.9003,1.5
1.49,-23.3334,-11.8652,1.5
1.5,-23.4519,-11.8304,1.5
1.51,-23.57,-11.7959,1.5
1.52,-23.6878,-11.7614,1.5
1.53,-23.8053,-11.7269,1.5
1.54,-23.9224,-11.6922,1.5
1.55,-24.0391,-11.6571,1.5
1.56,-24.1555,-11.6216,1.5
1.57,-24.2715,-11.5855,1.5
1.58,-24.3872,-11.5488,1.5
