t,theta,w,torque
0,0,-20,2
0.01,-0.199398,-19.8793,2
0.02,-0.397582,-19.7573,2
0.03,-0.594539,-19.634,2
0.04,-0.790259,-19.5098,2
0.05,-0.984733,-19.3848,2
0.06,-1.17795,-19.2594,2
0.07,-1.36992,-19.1339,2
0.08,-1.56063,-19.0086,2
0.09,-1.75009,-18.8839,2
0.1,-1.93831,-18.7602,2
0.11,-2.1253,-18.6378,2
0.12,-2.31107,-18.5169,2
0.13,-2.49565,-18.3979,2
0.14,-2.67904,-18.2809,2
0.15,-2.86127,-18.1662,2
0.16,-3.04237,-18.0538,2
0.17,-3.22236,-17.9437,2
0.18,-3.40125,-17.8359,2
0.19,-3.57908,-17.7304,2
0.2,-3.75587,-17.627,2
0.21,-3.93163,-17.5256,2
0.22,-4.10639,-17.4259,2
0.23,-4.28015,-17.3277,2
0.24,-4.45294,-17.2307,2
0.25,-4.62477,-17.1346,2
0.26,-4.79564,-17.0392,2
0.27,-4.96556,-16.9441,2
0.28,-5.13452,-16.849,2
0.29,-5.30254,-16.7537,2
0.3,-5.46959,-16.658,2
0.31,-5.63569,-16.5616,2
0.32,-5.80082,-16.4644,2
0.33,-5.96498,-16.3662,2
0.34,-6.12815,-16.267,2
0.35,-6.29031,-16.1666,2
0.36,-6.45147,-16.0652,2
0.37,-6.61162,-15.9627,2
0.38,-6.77072,-15.8591,2
0.39,-6.9288,-15.7547,2
0.4,-7.08582,-15.6496,2
0.41,-7.24179,-15.5439,2
0.42,-7.39669,-15.4379,2
0.43,-7.55054,-15.3317,2
0.44,-7.70333,-15.2256,2
0.45,-7.85505,-15.1197,2
0.46,-8.00572,-15.0144,2
0.47,-8.15535,-14.9099,2
0.48,-8.30393,-14.8063,2
0.49,-8.45148,-14.7039,2
0.5,-8.59801,-14.6028,2
0.51,-8.74354,-14.5032,2
0.52,-8.88808,-14.4052,2
0.53,-9.03165,-14.3089,2
0.54,-9.17426,-14.2145,2
0.55,-9.31594,-14.1218,2
0.56,-9.4567,-14.0311,2
0.57,-9.59657,-13.9422,2
0.58,-9.73555,-13.8551,2
0.59,-9.87368,-13.7697,2
0.6,-10.011,-13.686,2
0.61,-10.1474,-13.6039,2
0.62,-10.283,-13.5231,2
0.63,-10.4179,-13.4437,2
0.64,-10.5519,-13.3654,2
0.65,-10.6852,-13.2881,2
0.66,-10.8177,-13.2115,2
0.67,-10.9494,-13.1356,2
0.68,-11.0804,-13.0601,2
0.69,-11.2106,-12.9848,2
0.7,-11.3401,-12.9097,2
0.71,-11.4688,-12.8345,2
0.72,-11.5968,-12.7591,2
0.73,-11.724,-12.6834,2
0.74,-11.8504,-12.6072,2
0.75,-11.9761,-12.5304,2
0.76,-12.101,-12.453,2
